url,mode,duration_ms,status,fetched_with,got_title,trial
https://www.facebook.com/share/p/1D1W2YwvMJ/,login,4530,ok,playwright,True,5
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,login,4716,ok,playwright,True,1
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,login,4710,ok,playwright,True,2
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,login,4204,ok,playwright,True,3
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,login,5507,ok,playwright,True,4
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,login,5324,ok,playwright,True,5
https://www.facebook.com/share/v/17MhoeCBLK/,login,5478,ok,playwright,True,1
https://www.facebook.com/share/v/17MhoeCBLK/,login,6137,ok,playwright,True,2
https://www.facebook.com/share/v/17MhoeCBLK/,login,6514,ok,playwright,True,3
https://www.facebook.com/share/v/17MhoeCBLK/,login,5852,ok,playwright,True,4
https://www.facebook.com/share/v/17MhoeCBLK/,login,7674,ok,playwright,True,5
https://www.facebook.com/61564650838712/videos/1405752940319599/?rdid=k4oRLOuNGI8mLbKL#,login,2168,ok,requests,True,1
https://www.facebook.com/61564650838712/videos/1405752940319599/?rdid=k4oRLOuNGI8mLbKL#,login,2154,ok,requests,True,2
